"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2016-12-03","DASH","Poloniex","8.80","8.56","8.82","8.56",0.2,2.8,"2016-12-03 00:00:00","2016-12-03 00","2016-12-03 00DASH"
"2016-12-02","DASH","Poloniex","8.56","8.65","8.85","8.56",0.25,-1.04,"2016-12-02 00:00:00","2016-12-02 00","2016-12-02 00DASH"
"2016-12-01","DASH","Poloniex","8.65","8.88","8.91","8.64",0.14,-2.59,"2016-12-01 00:00:00","2016-12-01 00","2016-12-01 00DASH"
"2016-11-30","DASH","Poloniex","8.88","8.89","8.94","8.67",0.03,-0.11,"2016-11-30 00:00:00","2016-11-30 00","2016-11-30 00DASH"
"2016-11-29","DASH","Poloniex","8.89","8.92","8.99","8.63",0.2,-0.34,"2016-11-29 00:00:00","2016-11-29 00","2016-11-29 00DASH"
"2016-11-28","DASH","Poloniex","8.92","9.02","9.14","8.90",0.16,-1.11,"2016-11-28 00:00:00","2016-11-28 00","2016-11-28 00DASH"
"2016-11-27","DASH","Poloniex","9.02","8.99","9.18","8.70",0.46,0.33,"2016-11-27 00:00:00","2016-11-27 00","2016-11-27 00DASH"
"2016-11-26","DASH","Poloniex","8.99","9.07","9.18","8.72",0.14,-0.88,"2016-11-26 00:00:00","2016-11-26 00","2016-11-26 00DASH"
"2016-11-25","DASH","Poloniex","9.07","8.96","9.27","8.68",0.53,1.23,"2016-11-25 00:00:00","2016-11-25 00","2016-11-25 00DASH"
"2016-11-24","DASH","Poloniex","8.96","8.49","9.15","8.20",0.71,5.54,"2016-11-24 00:00:00","2016-11-24 00","2016-11-24 00DASH"
"2016-11-23","DASH","Poloniex","8.49","8.50","8.70","8.40",0.35,-0.12,"2016-11-23 00:00:00","2016-11-23 00","2016-11-23 00DASH"
"2016-11-22","DASH","Poloniex","8.50","8.68","8.90","8.50",0.54,-2.07,"2016-11-22 00:00:00","2016-11-22 00","2016-11-22 00DASH"
"2016-11-21","DASH","Poloniex","8.68","8.50","8.68","8.32",0.27,2.12,"2016-11-21 00:00:00","2016-11-21 00","2016-11-21 00DASH"
"2016-11-20","DASH","Poloniex","8.50","8.39","8.64","8.31",0.12,1.31,"2016-11-20 00:00:00","2016-11-20 00","2016-11-20 00DASH"
"2016-11-19","DASH","Poloniex","8.39","9.00","9.00","8.32",1.58,-6.78,"2016-11-19 00:00:00","2016-11-19 00","2016-11-19 00DASH"
"2016-11-18","DASH","Poloniex","9.00","9.03","9.23","8.74",0.47,-0.33,"2016-11-18 00:00:00","2016-11-18 00","2016-11-18 00DASH"
"2016-11-17","DASH","Poloniex","9.03","9.42","9.52","9.00",0.25,-4.14,"2016-11-17 00:00:00","2016-11-17 00","2016-11-17 00DASH"
"2016-11-16","DASH","Poloniex","9.42","9.59","9.74","9.00",0.72,-1.77,"2016-11-16 00:00:00","2016-11-16 00","2016-11-16 00DASH"
"2016-11-15","DASH","Poloniex","9.59","9.65","9.76","9.44",0.19,-0.62,"2016-11-15 00:00:00","2016-11-15 00","2016-11-15 00DASH"
"2016-11-14","DASH","Poloniex","9.65","9.50","9.77","9.45",0.29,1.58,"2016-11-14 00:00:00","2016-11-14 00","2016-11-14 00DASH"
"2016-11-13","DASH","Poloniex","9.50","9.70","9.73","9.30",0.29,-2.06,"2016-11-13 00:00:00","2016-11-13 00","2016-11-13 00DASH"
