"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2019-12-04","DASH","HitBTC",5029,5133,5276,4940,2563,-1.93,"2019-12-04 00:00:00","2019-12-04 00","2019-12-04 00DASH"
"2019-12-03","DASH","HitBTC",5128,5156,5210,5069,1588,-0.56,"2019-12-03 00:00:00","2019-12-03 00","2019-12-03 00DASH"
"2019-12-02","DASH","HitBTC",5156,5307,5385,5156,1720,-2.84,"2019-12-02 00:00:00","2019-12-02 00","2019-12-02 00DASH"
"2019-12-01","DASH","HitBTC",5307,5497,5497,5230,1757,-3.5,"2019-12-01 00:00:00","2019-12-01 00","2019-12-01 00DASH"
"2019-11-30","DASH","HitBTC",5500,5698,5797,5449,3134,-3.44,"2019-11-30 00:00:00","2019-11-30 00","2019-11-30 00DASH"
"2019-11-29","DASH","HitBTC",5696,5225,5900,5221,5026,9.03,"2019-11-29 00:00:00","2019-11-29 00","2019-11-29 00DASH"
"2019-11-28","DASH","HitBTC",5224,5054,5470,4927,4707,3.41,"2019-11-28 00:00:00","2019-11-28 00","2019-11-28 00DASH"
"2019-11-27","DASH","HitBTC",5052,5018,5258,4792,3531,0.68,"2019-11-27 00:00:00","2019-11-27 00","2019-11-27 00DASH"
"2019-11-26","DASH","HitBTC",5018,4989,5098,4963,3468,0.58,"2019-11-26 00:00:00","2019-11-26 00","2019-11-26 00DASH"
"2019-11-25","DASH","HitBTC",4989,5081,5365,4771,4009,-1.9,"2019-11-25 00:00:00","2019-11-25 00","2019-11-25 00DASH"
"2019-11-24","DASH","HitBTC",5086,5452,5460,5062,2904,-6.78,"2019-11-24 00:00:00","2019-11-24 00","2019-11-24 00DASH"
"2019-11-23","DASH","HitBTC",5456,5504,5680,5352,3637,-0.97,"2019-11-23 00:00:00","2019-11-23 00","2019-11-23 00DASH"
"2019-11-22","DASH","HitBTC",5510,6031,6094,5328,3449,-8.69,"2019-11-22 00:00:00","2019-11-22 00","2019-11-22 00DASH"
"2019-11-21","DASH","HitBTC",6034,6356,6441,5949,1776,-5.06,"2019-11-21 00:00:00","2019-11-21 00","2019-11-21 00DASH"
"2019-11-20","DASH","HitBTC",6356,6525,6561,6324,1363,-2.59,"2019-11-20 00:00:00","2019-11-20 00","2019-11-20 00DASH"
"2019-11-19","DASH","HitBTC",6524,6419,6560,6298,1610,1.63,"2019-11-19 00:00:00","2019-11-19 00","2019-11-19 00DASH"
"2019-11-18","DASH","HitBTC",6420,6758,6779,6330,1332,-4.99,"2019-11-18 00:00:00","2019-11-18 00","2019-11-18 00DASH"
"2019-11-17","DASH","HitBTC",6757,6790,6831,6708,738,-0.5,"2019-11-17 00:00:00","2019-11-17 00","2019-11-17 00DASH"
