"date","symbol","active_addresses","block_count","block_size_block_bytes","block_mean_size_bytes","cap_mrkt_cur","fees_daily_mean_native_units","fees_daily_mean_usd","fees_daily_median_native_units","fees_daily_median_usd","fees_daily_total_native_units","fees_daily_total_usd","supply_issued_daily","annual_inflation_rate","supply_issued_usd_equivalent_scheduled_daily","supply_issued_native_units_total","supply_issued_usd_equivalent_total","adjusted_nvt","adjusted_nvt_90_day_ma","price_btc","price_usd","roi_1_year","roi_30_days","supply_current","transactions_count_daily","transactions_successful_transfers_daily_count","transactions_native_units_transferred_adjusted","transactions_usd_equivalent_adjusted","transactions_mean_native_units_per_transaction","transactions_mean_usd_equivalent_per_transaction","transactions_median_native_units_per_transaction","transactions_median_usd_equivalent_per_transaction","transactions_sum_native_units_transferred_daily","transactions_sum_usd_equivalent_units_transferred_daily","volatility_180_days","volatility_60_days","volatility_30_days","date_time_utc","pk_dummy","pkey"
"2017-10-29","ADA",881,4320,3030787,701.57106481,NA,"0.14939398540145934",NA,0.171246,NA,61.400928,NA,0,0,NA,0,NA,39.43233184,NA,NA,NA,NA,NA,"26096029335.953012",411,761,"661792699.552761",NA,"3663025.26678394",NA,"10655180.536139",NA,"2787562228.022581",NA,NA,NA,NA,"2017-10-29 00:00:01","2017-10-29 00","2017-10-29 00ADA"
"2017-10-30","ADA",1195,4320,2973620,688.33796296,NA,"0.16306607291666553",NA,0.171246,NA,93.926058,NA,0,0,NA,0,NA,6.99688866,NA,NA,NA,NA,NA,"26145171311.026954",576,1106,"3736685342.731137",NA,"107910137.68483054",NA,"11104000.418596",NA,"119348612279.422572",NA,NA,NA,NA,"2017-10-30 00:00:01","2017-10-30 00","2017-10-30 00ADA"
"2017-10-31","ADA",1328,4320,3106679,719.13865741,NA,"0.16131619968051003",NA,0.171246,NA,100.983941,NA,0,0,NA,0,NA,8.11714272,NA,NA,NA,NA,NA,"26238494336.043013",626,1205,"3232479116.975162",NA,"8616891.25889524",NA,"10402957.213757",NA,"10383353966.968763",NA,NA,NA,NA,"2017-10-31 00:00:01","2017-10-31 00","2017-10-31 00ADA"
"2017-11-01","ADA",1245,4320,2975153,688.69282407,NA,"0.1658438170731696",NA,0.171246,NA,95.194351,NA,0,0,NA,0,NA,19.14140304,NA,NA,NA,NA,NA,"26285076313.848662",574,1112,"1373205310.653504",NA,"4627320.13948941",NA,"9964313.900548",NA,"5145579995.11222",NA,NA,NA,NA,"2017-11-01 00:00:01","2017-11-01 00","2017-11-01 00ADA"
"2017-11-02","ADA",1017,4319,3070905,711.02222737,NA,"0.16399629694323045",NA,0.171246,NA,75.110304,NA,0,0,NA,0,NA,19.11660502,NA,NA,NA,NA,NA,"26300504571.738358",458,883,"1375793690.444692",NA,"4503100.63279434",NA,"9617669.053059",NA,"3976237858.757398",NA,NA,NA,NA,"2017-11-02 00:00:01","2017-11-02 00","2017-11-02 00ADA"
"2017-11-03","ADA",830,4320,3026305,700.53356481,NA,"0.15890303713527784",NA,0.171246,NA,59.906445,NA,0,0,NA,0,NA,38.34622534,NA,NA,NA,NA,NA,"26343079636.831913",377,717,"686979732.70093",NA,"3426393.12443366",NA,"9295445.783332",NA,"2456723870.218931",NA,NA,NA,NA,"2017-11-03 00:00:01","2017-11-03 00","2017-11-03 00ADA"
"2017-11-04","ADA",774,4320,2879091,666.45625,NA,"0.15606891549295718",NA,0.171246,NA,55.404465,NA,0,0,NA,0,NA,44.26021079,NA,NA,NA,NA,NA,"26390556486.427448",355,672,"596259168.575636",NA,"3370407.94251653",NA,"8875067.362699",NA,"2264914137.371107",NA,NA,NA,NA,"2017-11-04 00:00:01","2017-11-04 00","2017-11-04 00ADA"
"2017-11-05","ADA",813,4320,3012785,697.40393519,NA,"0.15906077572559282",NA,0.171246,NA,60.284034,NA,0,0,NA,0,NA,39.70037006,NA,NA,NA,NA,NA,"26412365030.143414",379,728,"665292665.786416",NA,"3461846.03166314",NA,"8571392.464864",NA,"2520223911.050769",NA,NA,NA,NA,"2017-11-05 00:00:01","2017-11-05 00","2017-11-05 00ADA"
"2017-11-06","ADA",1046,4320,2929428,678.10833333,NA,"0.16699889830508383",NA,0.171246,NA,78.82348,NA,0,0,NA,0,NA,29.81844695,NA,NA,NA,NA,NA,"26430446657.319934",472,919,"886379049.359884",NA,"3231319.28897541",NA,"8174292.575471",NA,"2969582426.568402",NA,NA,NA,NA,"2017-11-06 00:00:01","2017-11-06 00","2017-11-06 00ADA"
"2017-11-07","ADA",858,4320,3043886,704.60324074,NA,"0.1584343980099495",NA,0.171246,NA,63.690628,NA,0,0,NA,0,NA,28.04902626,NA,NA,NA,NA,NA,"26477216743.629306",402,764,"943962064.88979",NA,"3511762.25487321",NA,"7849794.190521",NA,"2682986362.723131",NA,NA,NA,NA,"2017-11-07 00:00:01","2017-11-07 00","2017-11-07 00ADA"
