"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"Huobi Token",3.6899,0.2,257791,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:29","2020-04-21 18"
"FTX Token",2.483,7.69,199598,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:29","2020-04-21 18"
"Waves",0.96366,0.46,158769,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:30","2020-04-21 18"
"Ontology",0.3954,0.52,157643,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:30","2020-04-21 18"
"Lisk",0.97708,0.65,153707,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Hedera Hashgraph",0.030992,0.63,143486,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Decentraland",0.026855,0.3,142893,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"DigiByte",0.007664,1.8,137950,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:31","2020-04-21 18"
"Augur",9.5378,2.46,123298,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"Maker",309,1.42,122663,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"Zilliqa",0.0041082,0.68,119486,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"Enjin Coin",0.10694,0.44,115293,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"OmiseGO",0.5627,0.32,103761,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:32","2020-04-21 18"
"Cosmos",2.2721,0.37,99072,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:33","2020-04-21 18"
"Crypto.com Coin",0.048442,2.27,86834,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:33","2020-04-21 18"
"Tierion",0.044739,1.29,65465,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"BitTorent Token",0.0002182,0.72,64159,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"MaidSafeCoin",0.10904,1.57,63243,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"Golem",0.036018,0.8,57657,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"Status",0.017111,0.63,54790,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:35","2020-04-21 18"
"Komodo",0.53128,0.42,52057,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Decred",11.868,0.89,44365,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Digitex Futures",0.041152,0.69,44050,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"ICON",0.22463,0.49,42583,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
"Ardor",0.032833,1.25,27869,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:36","2020-04-21 18"
