"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2018-06-05,"ETH",607.24,611.19,607.01,609.26,1385211.16,607.24,594.01,597.11,591.65,569.55,655.39,778.48,737.34,717.11,0.688621274773078,604.71,"2018-06-05 20:00:00"
2018-06-05,"ETH",609.26,610.59,603,603.98,1626956.94,609.26,588.05,598.87,593.79,568.87,649.02,786.58,751,716.95,1.2587064676617,607.08,"2018-06-05 21:00:00"
2018-06-05,"ETH",603.98,611.47,603.98,611.17,1200030.41,603.98,588.97,592.5,593.13,559.27,639.67,791.49,752.5,686.89,1.24010728832081,606.73,"2018-06-05 22:00:00"
2018-06-05,"ETH",611.17,611.74,606.51,609.05,873597.87,611.17,587.02,591.02,590.85,567.36,640.99,794.3,749.9,697.92,0.862310596692555,607.4,"2018-06-05 23:00:00"
2018-06-05,"ETH",587.02,590.8,586.81,588.11,1138413.18,609.05,594.93,596.1,590.51,557.99,680,773.48,789.9,774.99,0.679947512823573,610.83,"2018-06-06 00:00:00"
2018-06-06,"ETH",605.09,609.91,603.29,609.06,1340674.62,588.11,584.72,595.5,594.98,579.04,630.78,763,752.58,640.02,1.09731638183958,614.59,"2018-06-06 01:00:00"
2018-06-06,"ETH",609.06,609.32,605.01,607.17,741613.92,609.06,585.9,579.51,593.66,573.89,635.02,753.99,734,635.01,0.712384919257543,612.69,"2018-06-06 02:00:00"
2018-06-06,"ETH",607.17,609,605.16,606.11,1324852.66,607.17,600.12,582.16,593.66,568.97,642.19,758.87,732.22,622.59,0.634542930795167,614.73,"2018-06-06 03:00:00"
2018-06-06,"ETH",606.11,608.49,601,601.48,1610912.06,606.11,606.37,577.23,593.52,571.99,635.89,753.79,744.09,587.98,1.24625623960067,611.45,"2018-06-06 04:00:00"
2018-06-06,"ETH",601.48,605.57,598.41,605.31,2159153.35,601.48,609.94,583.71,596.39,570.22,639.02,756.79,743.24,626,1.19650406911651,610.47,"2018-06-06 05:00:00"
2018-06-06,"ETH",605.31,609.58,605.31,609,1988084.41,605.31,611.44,588.27,604.08,559.77,642,756,745,596,0.705423667211858,607.33,"2018-06-06 06:00:00"
2018-06-06,"ETH",608.94,613.35,606.47,606.72,3409727.22,609,607.24,586.4,606.93,565.58,621.09,738.02,756.15,579.94,1.13443369004238,609.58,"2018-06-06 07:00:00"
2018-06-06,"ETH",606.68,606.73,601.16,603.65,1725761.16,606.72,609.26,594.01,624,560.98,617.15,742.89,757.7,587,0.926542018763732,608.18,"2018-06-06 08:00:00"
2018-06-06,"ETH",603.65,603.81,600.1,601.01,1499252.02,603.65,603.98,588.05,623.12,565.66,615.75,706.61,769.35,643.73,0.618230294950829,609.64,"2018-06-06 09:00:00"
2018-06-06,"ETH",601.01,604.5,600.05,604.5,1359632.43,601.01,611.17,588.97,617.71,570.2,619.72,722.48,765.7,634.69,0.741604866261153,607.99,"2018-06-06 10:00:00"
2018-06-06,"ETH",604.5,607.7,604.34,606.01,1153711.89,604.5,609.05,587.02,619.93,570.82,620.99,733,760.79,633.96,0.555978422742167,607.6,"2018-06-06 11:00:00"
2018-06-06,"ETH",609.05,611.98,604.91,605.09,1550150.42,606.01,588.11,594.93,594.16,573.97,638.75,776.12,755.51,703.29,1.16876890777141,615.15,"2018-06-06 12:00:00"
